Timestamp,d_laser_x,d_laser_z,laser_x,laser_z,X,Y,Z,Yaw,Roll,Pitch,X_aligned,Z_aligned,Error,High_Error_Flag
1740983218.15,2.589,4.116,0.817,0.256,-0.559,-1.1902,-4.609,34.3655,0.5621,90.7767,0.8075692738257336,0.04673060676866969,0.207483830614961,1
1740983218.229,2.588,4.118,0.817,0.254,-0.5591,-1.1901,-4.6087,34.3556,0.5428,90.7836,0.8076404427206882,0.0470387219880104,0.2071728068758561,1
1740983218.309,2.588,4.118,0.817,0.254,-0.559,-1.1904,-4.609,34.3582,0.54,90.7761,0.8075692738257336,0.04673060676866969,0.207483830614961,1
1740983218.389,2.593,4.117,0.822,0.255,-0.5589,-1.1904,-4.6089,34.3559,0.522,90.7846,0.8077067536924618,0.04676376225455536,0.20744450501717085,1
1740983218.468,2.594,4.117,0.823,0.255,-0.5591,-1.1904,-4.6089,34.3465,0.5356,90.7868,0.8075361183398466,0.046868086635396544,0.20734800358373112,1
1740983218.548,2.588,4.117,0.817,0.255,-0.5591,-1.1903,-4.6091,34.3457,0.5368,90.7749,0.8074317939590054,0.046697451282783575,0.2075232451353265,1
1740983218.628,2.589,4.117,0.818,0.255,-0.559,-1.1903,-4.6089,34.3357,0.5285,90.7813,0.8076214360161544,0.046815924444976176,0.20739623580477276,1
1740983218.708,2.589,4.118,0.818,0.254,-0.559,-1.1903,-4.609,34.3424,0.5349,90.7712,0.8075692738257336,0.04673060676866969,0.207483830614961,1
1740983218.787,2.588,4.118,0.817,0.254,-0.5591,-1.1903,-4.609,34.3492,0.5419,90.769,0.8074839561494263,0.04678276895909006,0.20743561876116623,1
1740983218.866,2.593,4.118,0.822,0.254,-0.5591,-1.1904,-4.6089,34.3519,0.5423,90.767,0.8075361183398466,0.046868086635396544,0.20734800358373112,1
1740983218.946,2.593,4.116,0.821,0.256,-0.5591,-1.1903,-4.609,34.3597,0.5288,90.7655,0.8074839561494263,0.04678276895909006,0.20743561876116623,1
1740983219.026,2.594,4.116,0.823,0.256,-0.559,-1.1902,-4.6089,34.356,0.5281,90.7704,0.8076214360161544,0.046815924444976176,0.20739623580477276,1
1740983219.106,2.594,4.117,0.823,0.255,-0.5591,-1.1902,-4.6089,34.3542,0.5256,90.7664,0.8075361183398466,0.046868086635396544,0.20734800358373112,1
1740983219.185,2.594,4.116,0.823,0.256,-0.559,-1.1905,-4.6091,34.35,0.5197,90.7658,0.8075171116353133,0.04664528909236321,0.20757143663646677,1
1740983219.265,2.589,4.118,0.818,0.254,-0.5591,-1.1904,-4.609,34.3394,0.5089,90.783,0.8074839561494263,0.04678276895909006,0.20743561876116623,1
1740983219.345,2.594,4.118,0.823,0.254,-0.5591,-1.1903,-4.6089,34.3429,0.4997,90.7816,0.8075361183398466,0.046868086635396544,0.20734800358373112,1
1740983219.424,2.594,4.118,0.823,0.254,-0.5591,-1.1903,-4.609,34.3485,0.4999,90.7853,0.8074839561494263,0.04678276895909006,0.20743561876116623,1
1740983219.504,2.594,4.117,0.823,0.255,-0.5591,-1.1903,-4.609,34.3446,0.4949,90.7847,0.8074839561494263,0.04678276895909006,0.20743561876116623,1
1740983219.583,2.595,4.118,0.824,0.254,-0.559,-1.1903,-4.6089,34.3505,0.5003,90.7731,0.8076214360161544,0.046815924444976176,0.20739623580477276,1
1740983219.663,2.588,4.118,0.817,0.254,-0.5591,-1.1903,-4.6088,34.3514,0.4899,90.7807,0.8075882805302679,0.04695340431170392,0.20726039961721987,1
1740983219.743,2.592,4.118,0.821,0.254,-0.5592,-1.1903,-4.6088,34.3501,0.492,90.7783,0.8075029628539605,0.04700556650212473,0.207212184037666,1
1740983235.154,2.805,4.123,1.039,0.24,-0.3619,-1.1858,-4.5047,32.2922,0.7596,90.5393,1.0301355784365858,0.03290526583764963,0.2052862098407467,1
1740983235.234,2.805,4.124,1.039,0.239,-0.3619,-1.1858,-4.5046,32.2944,0.7708,90.5397,1.0301877406270061,0.03299058351395612,0.20519872505258194,1
1740983235.313,2.807,4.125,1.041,0.238,-0.362,-1.1858,-4.5046,32.2955,0.7585,90.5528,1.0301024229506988,0.03304274570437693,0.20515029360385753,1
1740983235.393,2.807,4.125,1.041,0.238,-0.362,-1.1857,-4.5046,32.3045,0.7629,90.5387,1.0301024229506988,0.03304274570437693,0.20515029360385753,1
1740983235.472,2.81,4.124,1.044,0.239,-0.3619,-1.1858,-4.5045,32.3064,0.7569,90.5385,1.0302399028174265,0.0330759011902626,0.20511125170412067,1
1740983235.552,2.806,4.123,1.04,0.24,-0.3619,-1.1857,-4.5047,32.2965,0.7599,90.5312,1.0301355784365858,0.03290526583764963,0.2052862098407467,1
1740983235.632,2.81,4.125,1.044,0.238,-0.362,-1.1857,-4.5047,32.2964,0.7475,90.5409,1.030050260760278,0.032957428028070446,0.20523779903644193,1
1740983235.712,2.805,4.125,1.039,0.238,-0.362,-1.1858,-4.5047,32.297,0.7387,90.5448,1.030050260760278,0.032957428028070446,0.20523779903644193,1
1740983235.791,2.805,4.123,1.039,0.24,-0.3618,-1.1858,-4.5049,32.2908,0.7416,90.5406,1.0301165717320515,0.03268246829461541,0.20550962051296623,1
1740983235.871,2.81,4.123,1.044,0.24,-0.3619,-1.1858,-4.5047,32.2969,0.7381,90.5458,1.0301355784365858,0.03290526583764963,0.2052862098407467,1
1740983235.95,2.811,4.124,1.045,0.239,-0.3621,-1.1858,-4.5046,32.2953,0.7451,90.5393,1.030017105274391,0.0330949078947973,0.20510189947509744,1
1740983236.03,2.81,4.125,1.044,0.238,-0.3619,-1.1857,-4.5048,32.2953,0.7461,90.5457,1.0300834162461645,0.03281994816134226,0.20537370605399669,1
1740983236.11,2.811,4.125,1.045,0.238,-0.3621,-1.1857,-4.5047,32.3001,0.7462,90.5514,1.0299649430839706,0.033009590218490814,0.2051894255459256,1
1740983236.189,2.811,4.123,1.045,0.24,-0.362,-1.1859,-4.5049,32.3017,0.7492,90.534,1.0299459363794363,0.03278679267545659,0.2054128441175752,1
1740983236.269,2.81,4.123,1.044,0.24,-0.3619,-1.1857,-4.5048,32.3027,0.7551,90.5371,1.0300834162461645,0.03281994816134226,0.20537370605399669,1
1740983236.349,2.811,4.123,1.045,0.24,-0.362,-1.1858,-4.5048,32.3005,0.7487,90.5411,1.0299980985698571,0.03287211035176307,0.20532531587920974,1
1740983236.428,2.804,4.123,1.038,0.24,-0.3621,-1.1858,-4.5047,32.2916,0.7495,90.5437,1.0299649430839706,0.033009590218490814,0.2051894255459256,1
1740983236.508,2.81,4.123,1.044,0.24,-0.3619,-1.1858,-4.5048,32.2931,0.7439,90.5457,1.0300834162461645,0.03281994816134226,0.20537370605399669,1
1740983236.588,2.81,4.122,1.044,0.241,-0.362,-1.1858,-4.5048,32.2972,0.7512,90.5411,1.0299980985698571,0.03287211035176307,0.20532531587920974,1
1740983236.667,2.811,4.124,1.045,0.239,-0.3621,-1.1858,-4.5047,32.2925,0.7585,90.537,1.0299649430839706,0.033009590218490814,0.2051894255459256,1
1740983236.747,2.81,4.122,1.044,0.241,-0.3619,-1.1858,-4.5048,32.2887,0.7639,90.5251,1.0300834162461645,0.03281994816134226,0.20537370605399669,1
1740983236.827,2.811,4.124,1.045,0.239,-0.3634,-1.1859,-4.5023,32.2848,0.7293,90.5174,1.0301077058620698,0.03573532292531878,0.20246005158341865,1
1740983236.906,2.806,4.124,1.04,0.239,-0.3683,-1.1858,-4.4943,32.1759,0.8208,90.4046,1.0301001149566589,0.04511668436046268,0.19308853255925393,1
1740983236.986,2.806,4.124,1.04,0.238,-0.3781,-1.1852,-4.4777,31.9004,0.7345,90.5333,1.0303979062883615,0.0643913132885916,0.1738216675730726,1
1740983237.065,2.807,4.116,1.042,0.246,-0.3898,-1.1869,-4.4581,31.6316,0.8311,90.4968,1.0306395274828422,0.08721655412391138,0.15101504908775645,1
1740983285.251,2.746,4.03,0.982,0.33,-0.4551,-1.189,-4.4768,30.6203,0.9729,90.5805,0.9651727552453808,0.10532405899918018,0.15183335400534184,1
1740983285.331,2.743,4.03,0.979,0.33,-0.4496,-1.189,-4.4866,30.6081,0.9951,90.4811,0.964753332781064,0.09409400624799202,0.16193054878827642,1
1740983285.41,2.746,4.045,0.982,0.315,-0.4469,-1.1888,-4.4909,30.5991,0.9794,90.4894,0.9648139358532761,0.08901696702544859,0.16643171641210122,1
1740983285.49,2.749,4.059,0.985,0.301,-0.4471,-1.1889,-4.4908,30.5763,0.9807,90.5123,0.9646954626910818,0.08920660908259626,0.16631487439610365,1
