2025-04-01 17:28:07,709 - Timestamp, Before_X, Before_Y, Before_Z, Before_Yaw_Deg, After_X, After_Y, After_Z, After_Yaw_Deg
2025-04-01 17:38:42,420 - 2025-04-01T17:38:42.420031, 1.0100061583756106, 0.0, -0.47706206168469834, 85.49318372612512, -20.61029662736398, -58.23426222434914, 0.0016000000400000006, 4.506816273874875
2025-04-01 17:38:42,438 - 2025-04-01T17:38:42.438581, 1.0133134266685326, 0.0, -0.47667222012889354, 86.11278372653533, -20.50231141718318, -58.25023750765281, 0.0016000000400000006, 3.887216273464673
2025-04-01 17:38:42,458 - 2025-04-01T17:38:42.458203, 1.0166799415303012, 0.0, -0.47606676353632116, 86.70468372693107, -20.392593753136666, -58.2733347814299, 0.0016000000400000006, 3.2953162730689343
2025-04-01 17:38:42,479 - 2025-04-01T17:38:42.479357, 1.0198900879241508, 0.0, -0.47518644533813603, 87.40788372740626, -20.288265625697754, -58.305286499546085, 0.0016000000400000006, 2.592116272593742
2025-04-01 17:38:42,498 - 2025-04-01T17:38:42.498318, 1.0230485628151977, 0.0, -0.4746629605125463, 87.99868372780983, -20.185285026349383, -58.32549654213173, 0.0016000000400000006, 2.0013162721901665
2025-04-01 17:38:42,519 - 2025-04-01T17:38:42.519895, 1.0262070377062456, 0.0, -0.4741394756869566, 88.65868372826546, -20.08230442700099, -58.345706584717384, 0.0016000000400000006, 1.3413162717345415
2025-04-01 17:38:42,538 - 2025-04-01T17:38:42.538550, 1.0290162542907422, 0.0, -0.4737055376943955, 89.3131837287224, -19.990680577407936, -58.36264447033633, 0.0016000000400000006, 0.686816271277607
2025-04-01 17:38:42,558 - 2025-04-01T17:38:42.558654, 1.0315947057063823, 0.0, -0.4729299164613283, 89.84238372909562, -19.906948569838704, -58.39055417993538, 0.0016000000400000006, 0.15761627090438424
2025-04-01 17:38:42,598 - 2025-04-01T17:38:42.598188, 1.0372358640735109, 0.0, -0.47248569548369224, 90.56168364819088, -19.722546093326898, -58.41057089600181, 0.0016000000400000006, -0.5616836481908791
2025-04-01 17:38:42,638 - 2025-04-01T17:38:42.638481, 1.0426021608350267, 0.0, -0.4721978429739764, 90.82378364837489, -19.54699806115419, -58.42519807546058, 0.0016000000400000006, -0.823783648374885
2025-04-01 17:38:42,679 - 2025-04-01T17:38:42.679359, 1.0477604176258208, 0.0, -0.4719919622312432, 90.89278364842319, -19.378187093679635, -58.43693802372791, 0.0016000000400000006, -0.8927836484231904
2025-04-01 17:38:42,719 - 2025-04-01T17:38:42.719766, 1.0527623059486948, 0.0, -0.47151121988289635, 90.90828364843402, -19.214765662812738, -58.45753241633436, 0.0016000000400000006, -0.908283648434022
