Timestamp, Distance_2(Z), Distance_3(X), X, Y, Z, Roll, Yaw, Pitch, CalibrationMode, IsValid
1745404459.486, 2.056, 4.037, -0.1499, -1.1140, -4.9424, -0.3723, 41.1350, 92.1653, 1, 1
1745404459.565, 2.056, 4.037, -0.1498, -1.1140, -4.9424, -0.3749, 41.1353, 92.1665, 1, 1
1745404459.645, 2.056, 4.038, -0.1498, -1.1140, -4.9424, -0.3730, 41.1357, 92.1670, 1, 1
1745404459.725, 2.056, 4.038, -0.1498, -1.1139, -4.9424, -0.3716, 41.1364, 92.1680, 1, 1
1745404459.804, 2.056, 4.038, -0.1499, -1.1139, -4.9423, -0.3709, 41.1370, 92.1724, 1, 1
1745404459.884, 2.056, 4.038, -0.1499, -1.1139, -4.9423, -0.3697, 41.1383, 92.1752, 1, 1
1745404459.964, 2.056, 4.038, -0.1499, -1.1139, -4.9422, -0.3689, 41.1406, 92.1782, 1, 1
1745404460.043, 2.056, 4.038, -0.1499, -1.1139, -4.9422, -0.3714, 41.1421, 92.1793, 1, 1
1745404460.123, 2.056, 4.037, -0.1499, -1.1139, -4.9422, -0.3770, 41.1442, 92.1844, 1, 1
1745404460.202, 2.056, 4.037, -0.1499, -1.1139, -4.9422, -0.3847, 41.1457, 92.1892, 1, 1
1745404460.282, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.3929, 41.1469, 92.1938, 1, 1
1745404460.362, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.4005, 41.1463, 92.1975, 1, 1
1745404460.441, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.4073, 41.1438, 92.2023, 1, 1
1745404460.521, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.4107, 41.1404, 92.2052, 1, 1
1745404460.601, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.4082, 41.1362, 92.2036, 1, 1
1745404460.680, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.4051, 41.1310, 92.2024, 1, 1
1745404460.760, 2.056, 4.038, -0.1499, -1.1139, -4.9421, -0.4014, 41.1292, 92.2015, 1, 1
1745404460.840, 2.056, 4.038, -0.1499, -1.1140, -4.9421, -0.4006, 41.1274, 92.2017, 1, 1
1745404460.919, 2.056, 4.038, -0.1499, -1.1140, -4.9421, -0.3994, 41.1265, 92.1997, 1, 1
1745404460.999, 2.056, 4.037, -0.1499, -1.1140, -4.9421, -0.4000, 41.1272, 92.2001, 1, 1
1745404461.079, 2.056, 4.037, -0.1498, -1.1140, -4.9421, -0.4008, 41.1291, 92.2006, 1, 1
1745404461.158, 2.056, 4.037, -0.1498, -1.1139, -4.9421, -0.4024, 41.1301, 92.2021, 1, 1
1745404461.238, 2.056, 4.037, -0.1498, -1.1139, -4.9420, -0.4013, 41.1316, 92.2017, 1, 1
1745404461.318, 2.056, 4.036, -0.1498, -1.1139, -4.9421, -0.4030, 41.1311, 92.2055, 1, 1
1745404461.397, 2.055, 4.037, -0.1499, -1.1139, -4.9420, -0.4052, 41.1298, 92.2110, 1, 1
1745404461.477, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.4056, 41.1275, 92.2132, 1, 1
1745404461.557, 2.056, 4.037, -0.1498, -1.1139, -4.9421, -0.4072, 41.1246, 92.2157, 1, 1
1745404461.636, 2.056, 4.037, -0.1498, -1.1139, -4.9422, -0.4081, 41.1245, 92.2196, 1, 1
1745404461.716, 2.056, 4.037, -0.1498, -1.1139, -4.9422, -0.4065, 41.1256, 92.2210, 1, 1
1745404461.796, 2.056, 4.037, -0.1498, -1.1139, -4.9421, -0.4064, 41.1273, 92.2216, 1, 1
1745404461.875, 2.056, 4.037, -0.1498, -1.1139, -4.9421, -0.4073, 41.1297, 92.2239, 1, 1
1745404461.955, 2.056, 4.037, -0.1499, -1.1139, -4.9420, -0.4081, 41.1321, 92.2263, 1, 1
1745404462.034, 2.056, 4.037, -0.1499, -1.1139, -4.9420, -0.4097, 41.1330, 92.2281, 1, 1
1745404462.114, 2.056, 4.037, -0.1499, -1.1139, -4.9420, -0.4096, 41.1357, 92.2271, 1, 1
1745404462.194, 2.057, 4.037, -0.1499, -1.1139, -4.9420, -0.4095, 41.1379, 92.2240, 1, 1
1745404462.273, 2.056, 4.037, -0.1499, -1.1139, -4.9420, -0.4096, 41.1402, 92.2224, 1, 1
1745404462.353, 2.056, 4.037, -0.1499, -1.1139, -4.9420, -0.4116, 41.1401, 92.2218, 1, 1
1745404462.433, 2.056, 4.038, -0.1499, -1.1139, -4.9420, -0.4109, 41.1401, 92.2182, 1, 1
1745404462.512, 2.056, 4.038, -0.1499, -1.1139, -4.9420, -0.4124, 41.1397, 92.2182, 1, 1
1745404462.592, 2.056, 4.038, -0.1499, -1.1139, -4.9420, -0.4127, 41.1389, 92.2179, 1, 1
1745404462.672, 2.056, 4.038, -0.1499, -1.1139, -4.9420, -0.4152, 41.1386, 92.2204, 1, 1
1745404462.751, 2.056, 4.038, -0.1499, -1.1139, -4.9421, -0.4162, 41.1406, 92.2191, 1, 1
1745404462.831, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.4189, 41.1397, 92.2213, 1, 1
1745404462.911, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.4211, 41.1387, 92.2217, 1, 1
1745404462.990, 2.056, 4.037, -0.1499, -1.1139, -4.9421, -0.4254, 41.1380, 92.2259, 1, 1
1745404463.070, 2.056, 4.037, -0.1498, -1.1139, -4.9421, -0.4253, 41.1381, 92.2254, 1, 1
1745404463.150, 2.056, 4.038, -0.1498, -1.1139, -4.9421, -0.4260, 41.1381, 92.2283, 1, 1
1745404463.229, 2.056, 4.038, -0.1498, -1.1139, -4.9421, -0.4269, 41.1408, 92.2306, 1, 1
1745404463.309, 2.056, 4.037, -0.1498, -1.1139, -4.9420, -0.4252, 41.1433, 92.2334, 1, 1
1745404463.388, 2.057, 4.038, -0.1498, -1.1139, -4.9420, -0.4234, 41.1451, 92.2338, 1, 1
1745404463.468, 2.057, 4.038, -0.1499, -1.1139, -4.9420, -0.4231, 41.1438, 92.2350, 1, 1
1745404463.548, 2.057, 4.038, -0.1499, -1.1139, -4.9420, -0.4203, 41.1415, 92.2336, 1, 1
1745404463.627, 2.057, 4.037, -0.1499, -1.1139, -4.9420, -0.4183, 41.1396, 92.2316, 1, 1
1745404463.707, 2.057, 4.037, -0.1498, -1.1139, -4.9420, -0.4174, 41.1383, 92.2297, 1, 1
1745404463.787, 2.057, 4.037, -0.1499, -1.1139, -4.9420, -0.4183, 41.1358, 92.2307, 1, 1
1745404463.866, 2.057, 4.037, -0.1499, -1.1139, -4.9420, -0.4192, 41.1353, 92.2307, 1, 1
1745404463.946, 2.056, 4.037, -0.1499, -1.1139, -4.9420, -0.4218, 41.1380, 92.2321, 1, 1
1745404464.025, 2.057, 4.038, -0.1499, -1.1139, -4.9419, -0.4200, 41.1404, 92.2316, 1, 1
1745404464.105, 2.057, 4.038, -0.1499, -1.1139, -4.9420, -0.4228, 41.1413, 92.2305, 1, 1
1745404464.185, 2.057, 4.038, -0.1499, -1.1139, -4.9419, -0.4243, 41.1446, 92.2310, 1, 1
1745404464.264, 2.057, 4.038, -0.1499, -1.1139, -4.9419, -0.4256, 41.1464, 92.2317, 1, 1
1745404464.344, 2.057, 4.037, -0.1499, -1.1139, -4.9419, -0.4264, 41.1464, 92.2307, 1, 1
1745404464.424, 2.057, 4.037, -0.1499, -1.1139, -4.9420, -0.4326, 41.1441, 92.2314, 1, 1
1745404465.360, 2.057, 4.037, -0.1499, -1.1139, -4.9419, -0.4355, 41.1455, 92.2361, 1, 1
1745404465.439, 2.057, 4.037, -0.1499, -1.1139, -4.9419, -0.4356, 41.1453, 92.2375, 1, 1
1745404465.519, 2.057, 4.037, -0.1499, -1.1139, -4.9419, -0.4369, 41.1475, 92.2399, 1, 1
1745404465.598, 2.057, 4.037, -0.1499, -1.1138, -4.9419, -0.4408, 41.1481, 92.2436, 1, 1
1745404465.678, 2.057, 4.037, -0.1499, -1.1138, -4.9419, -0.4376, 41.1507, 92.2457, 1, 1
1745404465.758, 2.057, 4.037, -0.1499, -1.1138, -4.9419, -0.4350, 41.1496, 92.2443, 1, 1
1745404465.837, 2.057, 4.038, -0.1499, -1.1138, -4.9419, -0.4341, 41.1485, 92.2443, 1, 1
1745404465.917, 2.057, 4.037, -0.1498, -1.1138, -4.9419, -0.4319, 41.1447, 92.2447, 1, 1
1745404465.997, 2.057, 4.037, -0.1499, -1.1139, -4.9419, -0.4276, 41.1421, 92.2452, 1, 1
1745404466.076, 2.056, 4.037, -0.1499, -1.1139, -4.9419, -0.4310, 41.1395, 92.2496, 1, 1
1745404466.156, 2.056, 4.037, -0.1498, -1.1139, -4.9419, -0.4326, 41.1396, 92.2534, 1, 1
1745404466.236, 2.056, 4.037, -0.1499, -1.1139, -4.9419, -0.4357, 41.1398, 92.2570, 1, 1
1745404466.315, 2.057, 4.037, -0.1498, -1.1139, -4.9418, -0.4401, 41.1419, 92.2596, 1, 1
1745404466.395, 2.057, 4.037, -0.1498, -1.1138, -4.9418, -0.4443, 41.1447, 92.2606, 1, 1
1745404466.475, 2.057, 4.037, -0.1498, -1.1139, -4.9418, -0.4479, 41.1454, 92.2604, 1, 1
1745404466.554, 2.057, 4.037, -0.1498, -1.1139, -4.9418, -0.4553, 41.1418, 92.2635, 1, 1
1745404466.634, 2.057, 4.038, -0.1498, -1.1139, -4.9418, -0.4586, 41.1396, 92.2632, 1, 1
1745404466.714, 2.056, 4.038, -0.1498, -1.1139, -4.9418, -0.4588, 41.1392, 92.2620, 1, 1
1745404466.793, 2.056, 4.038, -0.1498, -1.1139, -4.9418, -0.4575, 41.1382, 92.2600, 1, 1
1745404466.873, 2.056, 4.038, -0.1498, -1.1139, -4.9418, -0.4549, 41.1390, 92.2582, 1, 1
1745404466.952, 2.056, 4.038, -0.1498, -1.1139, -4.9418, -0.4512, 41.1424, 92.2547, 1, 1
1745404467.032, 2.056, 4.038, -0.1498, -1.1139, -4.9417, -0.4504, 41.1437, 92.2555, 1, 1
1745404467.112, 2.056, 4.037, -0.1498, -1.1139, -4.9417, -0.4499, 41.1418, 92.2567, 1, 1
1745404467.191, 2.056, 4.037, -0.1498, -1.1138, -4.9417, -0.4528, 41.1415, 92.2603, 1, 1
