Timestamp,Distance_2(Z),Distance_3(X),X,Y,Z,Roll,Yaw,Pitch,CalibrationMode
1745404303.220,2.049,3.852,-0.2954,-1.1187,-4.7974,-0.4897,39.7393,92.2741,0
1745404303.299,2.050,3.837,-0.2958,-1.1188,-4.7972,-0.4682,39.6964,92.2313,0
1745404303.379,2.050,3.837,-0.2953,-1.1187,-4.7978,-0.4834,39.7422,92.2253,0
1745404303.458,2.052,3.829,-0.2947,-1.1187,-4.7983,-0.4678,39.6968,92.1856,0
1745404303.538,2.049,3.832,-0.2948,-1.1188,-4.7984,-0.4669,39.7171,92.1935,0
1745404303.618,2.049,3.832,-0.2964,-1.1188,-4.7961,-0.4307,39.5828,92.3194,0
1745404303.697,2.050,3.832,-0.3024,-1.1195,-4.7884,-0.5867,39.5746,92.2572,0
1745404303.777,2.050,3.832,-0.3111,-1.1201,-4.7791,-0.4625,39.5378,92.1011,0
1745404303.857,2.053,3.827,-0.3168,-1.1193,-4.7716,-0.5263,39.4112,92.1672,0
1745404303.936,2.053,3.813,-0.3178,-1.1189,-4.7704,-0.5745,39.4839,92.1714,0
1745404304.016,2.053,3.796,-0.3174,-1.1201,-4.7712,-0.4967,39.4677,92.0977,0
1745404304.096,2.053,3.799,-0.3168,-1.1202,-4.7717,-0.4871,39.4520,92.0802,0
1745404304.175,2.053,3.799,-0.3166,-1.1202,-4.7722,-0.4690,39.4405,92.0711,0
1745404304.255,2.053,3.799,-0.3166,-1.1201,-4.7720,-0.4708,39.4342,92.0626,0
1745404304.335,2.054,3.797,-0.3149,-1.1201,-4.7740,-0.4928,39.5082,92.1153,0
1745404304.414,2.052,3.797,-0.3084,-1.1200,-4.7818,-0.4294,39.3028,92.2064,0
1745404304.494,2.051,3.805,-0.2965,-1.1192,-4.7961,-0.3475,39.1889,92.1935,0
1745404304.573,2.051,3.805,-0.2835,-1.1185,-4.8112,-0.4542,39.1145,92.0329,0
1745404304.653,2.053,3.821,-0.2772,-1.1193,-4.8190,-0.3634,39.1032,91.9803,0
1745404304.733,2.052,3.847,-0.2770,-1.1184,-4.8191,-0.4171,39.0918,92.0484,0
1745404304.812,2.049,3.861,-0.2786,-1.1183,-4.8174,-0.3836,39.1265,92.0326,0
1745404304.892,2.051,3.863,-0.2804,-1.1184,-4.8150,-0.3738,39.1229,92.0394,0
1745404304.972,2.051,3.863,-0.2816,-1.1183,-4.8138,-0.3725,39.1291,92.0505,0
1745404305.051,2.049,3.858,-0.2819,-1.1182,-4.8133,-0.3864,39.1183,92.1026,0
1745404305.131,2.051,3.855,-0.2788,-1.1180,-4.8166,-0.4226,39.0987,92.1229,0
1745404305.211,2.051,3.853,-0.2749,-1.1177,-4.8213,-0.4182,39.0473,92.0953,0
1745404305.290,2.051,3.863,-0.2714,-1.1179,-4.8253,-0.4056,39.0465,92.0857,0
1745404305.370,2.051,3.863,-0.2705,-1.1179,-4.8264,-0.4177,39.0286,92.0688,0
1745404305.450,2.050,3.867,-0.2704,-1.1178,-4.8266,-0.3868,39.0220,92.0398,0
1745404305.529,2.051,3.869,-0.2703,-1.1180,-4.8266,-0.3982,39.0135,92.0377,0
1745404305.609,2.052,3.869,-0.2692,-1.1176,-4.8280,-0.3904,38.9982,91.9995,0
1745404305.689,2.054,3.871,-0.2628,-1.1172,-4.8355,-0.4445,38.9352,92.0549,0
1745404305.768,2.054,3.871,-0.2547,-1.1174,-4.8452,-0.5007,38.9922,92.0848,0
1745404305.848,2.051,3.877,-0.2485,-1.1167,-4.8529,-0.4097,38.9635,92.0423,0
1745404305.927,2.053,3.896,-0.2466,-1.1168,-4.8551,-0.4217,38.9992,92.0437,0
1745404306.007,2.051,3.907,-0.2471,-1.1170,-4.8547,-0.4013,39.0339,92.0601,0
1745404306.087,2.050,3.908,-0.2476,-1.1169,-4.8541,-0.4144,39.0368,92.0992,0
1745404306.166,2.050,3.908,-0.2477,-1.1168,-4.8536,-0.4454,39.0157,92.1489,0
1745404306.246,2.051,3.907,-0.2450,-1.1171,-4.8573,-0.4038,39.0365,92.1766,0
1745404306.326,2.051,3.906,-0.2383,-1.1171,-4.8657,-0.3879,39.0212,92.1565,0
1745404306.405,2.052,3.910,-0.2306,-1.1161,-4.8742,-0.4870,39.0022,92.0933,0
1745404306.485,2.049,3.910,-0.2268,-1.1158,-4.8791,-0.3997,39.0083,92.0140,0
1745404306.565,2.049,3.927,-0.2264,-1.1159,-4.8791,-0.4164,38.9990,92.0356,0
1745404306.644,2.050,3.942,-0.2273,-1.1159,-4.8782,-0.4341,38.9957,92.0710,0
1745404306.726,2.048,3.941,-0.2277,-1.1159,-4.8780,-0.4566,39.0579,92.1392,0
1745404306.804,2.052,3.940,-0.2241,-1.1159,-4.8826,-0.3263,39.0167,92.0150,0
1745404306.883,2.048,3.940,-0.2183,-1.1155,-4.8895,-0.3421,38.9420,91.9959,0
1745404306.963,2.048,3.941,-0.2130,-1.1152,-4.8956,-0.3936,38.8910,91.9900,0
1745404307.043,2.051,3.949,-0.2103,-1.1152,-4.8985,-0.4383,38.8717,91.9928,0
1745404307.124,2.050,3.962,-0.2104,-1.1153,-4.8985,-0.4192,38.8598,91.9832,0
1745404307.321,2.052,3.966,-0.2044,-1.1150,-4.9056,-0.5128,38.8364,92.0551,0
1745404307.401,2.050,3.969,-0.1981,-1.1144,-4.9128,-0.5304,38.8160,92.0221,0
1745404307.481,2.051,3.969,-0.1939,-1.1145,-4.9178,-0.5397,38.8233,92.0958,0
1745404307.560,2.051,3.981,-0.1924,-1.1146,-4.9197,-0.5729,38.7981,92.0806,0
1745404307.640,2.053,3.992,-0.1927,-1.1146,-4.9192,-0.5722,38.8033,92.0877,0
1745404307.720,2.051,3.997,-0.1929,-1.1145,-4.9192,-0.5751,38.8141,92.0874,0
1745404307.799,2.052,3.996,-0.1929,-1.1144,-4.9191,-0.5755,38.8205,92.0886,0
1745404307.879,2.052,3.996,-0.1928,-1.1144,-4.9191,-0.5749,38.8208,92.0778,0
1745404307.958,2.052,3.996,-0.1928,-1.1146,-4.9193,-0.5729,38.8221,92.0662,0
1745404308.277,2.052,3.996,-0.1929,-1.1146,-4.9192,-0.5913,38.8192,92.0655,0
1745404308.476,2.050,3.996,-0.1929,-1.1145,-4.9192,-0.5914,38.8221,92.0548,0
1745404308.556,2.050,3.996,-0.1929,-1.1146,-4.9192,-0.5892,38.8330,92.0520,0
1745404308.636,2.051,3.996,-0.1930,-1.1145,-4.9190,-0.5968,38.8372,92.0623,0
1745404308.715,2.052,3.994,-0.1931,-1.1147,-4.9192,-0.5828,38.8400,92.0494,0
1745404308.795,2.051,3.995,-0.1928,-1.1145,-4.9192,-0.5890,38.8302,92.0474,0
1745404308.874,2.051,3.995,-0.1929,-1.1145,-4.9191,-0.5928,38.8221,92.0488,0
1745404308.954,2.050,3.995,-0.1929,-1.1145,-4.9191,-0.5835,38.8197,92.0397,0
1745404309.034,2.051,3.997,-0.1929,-1.1146,-4.9192,-0.5920,38.8161,92.0457,0
1745404309.113,2.050,3.995,-0.1928,-1.1146,-4.9192,-0.6004,38.8163,92.0477,0
1745404309.193,2.052,3.996,-0.1930,-1.1146,-4.9191,-0.5991,38.8190,92.0486,0
1745404309.273,2.052,3.996,-0.1929,-1.1145,-4.9191,-0.6123,38.8205,92.0584,0
1745404309.352,2.051,3.995,-0.1928,-1.1145,-4.9190,-0.6083,38.8226,92.0623,0
1745404309.432,2.052,3.996,-0.1930,-1.1145,-4.9191,-0.5998,38.8307,92.0635,0
1745404309.512,2.052,3.996,-0.1930,-1.1144,-4.9189,-0.5986,38.8282,92.0529,0
1745404312.120,2.049,3.958,-0.2001,-1.1142,-4.9106,-0.5404,38.6959,91.9924,0
1745404312.200,2.051,3.970,-0.1915,-1.1142,-4.9205,-0.6215,38.6555,92.0696,0
1745404312.279,2.051,3.970,-0.1877,-1.1145,-4.9256,-0.5357,38.6787,91.9510,0
1745404312.359,2.051,3.988,-0.1881,-1.1144,-4.9251,-0.5527,38.6391,92.0665,0
1745404312.438,2.052,4.002,-0.1893,-1.1144,-4.9237,-0.5561,38.6403,92.1043,0
1745404312.518,2.051,4.002,-0.1902,-1.1146,-4.9225,-0.5468,38.6425,92.1210,0
1745404312.598,2.050,4.000,-0.1906,-1.1145,-4.9222,-0.5392,38.6486,92.0991,0
1745404312.677,2.052,4.000,-0.1906,-1.1145,-4.9221,-0.5405,38.6595,92.0897,0
1745404312.757,2.052,3.998,-0.1905,-1.1146,-4.9224,-0.5275,38.6590,92.0717,0
1745404312.837,2.051,4.000,-0.1906,-1.1145,-4.9222,-0.5297,38.6517,92.0739,0
1745404312.916,2.051,3.998,-0.1907,-1.1146,-4.9221,-0.5213,38.6500,92.0623,0
1745404312.996,2.051,3.998,-0.1906,-1.1146,-4.9221,-0.5161,38.6428,92.0455,0
1745404313.076,2.052,3.998,-0.1905,-1.1145,-4.9221,-0.5213,38.6416,92.0377,0
1745404313.155,2.052,4.000,-0.1907,-1.1146,-4.9222,-0.5150,38.6411,92.0393,0
1745404313.235,2.051,4.000,-0.1905,-1.1146,-4.9223,-0.5137,38.6456,92.0253,0
1745404313.315,2.053,3.998,-0.1905,-1.1145,-4.9223,-0.5072,38.6367,92.0189,0
1745404313.394,2.052,3.997,-0.1907,-1.1145,-4.9222,-0.5013,38.6465,92.0245,0
1745404313.474,2.054,3.997,-0.1922,-1.1147,-4.9204,-0.5234,38.6678,91.9927,0
1745404313.554,2.054,3.998,-0.1985,-1.1146,-4.9121,-0.5459,38.6686,91.8954,0
1745404313.633,2.053,3.998,-0.2094,-1.1147,-4.8994,-0.4612,38.6925,91.9225,0
1745404313.713,2.053,3.985,-0.2191,-1.1153,-4.8881,-0.3203,38.7240,91.8842,0
1745404313.792,2.052,3.966,-0.2224,-1.1153,-4.8842,-0.3225,38.6700,91.9407,0
